StartTime,Touch,Time,ButtonChosen,Song,ButtonPosition
1420635590.859306,1,2.305229902267456,classical,Sonata.wav,1
1420635590.859306,1,3.9043898582458496,(start pressed),N/A,0
1420635590.859306,1,7.15171480178833,pop,ET.wav,1
